CAS,HC50,MW,AOH,BCF,BioHL,BP,HL,KM,KOA,LogP,MP,KOC,VP,WS,MoA
22224-92-6,-1.43E+00,2.48E+00,-1.08E+01,3.70E-01,7.09E-01,3.23E+02,-6.87E+00,3.73E-03,1.13E+01,2.46E+00,3.19E+00,5.03E+01,-5.99E+00,-3.04E+00,5.00E+00
24579-73-5,1.76E+00,2.27E+00,-1.07E+01,3.68E-01,6.65E-01,2.27E+02,-8.74E+00,-5.03E-01,8.38E+00,2.40E+00,1.25E+00,9.19E+01,-3.84E+00,3.98E-01,4.00E+00
26644-46-2,9.65E-01,2.64E+00,-1.09E+01,1.38E+00,7.62E-01,3.29E+02,-7.36E+00,1.76E-01,9.39E+00,2.31E+00,2.22E+00,1.73E+02,-6.66E+00,-2.50E+00,3.00E+00
271-89-6,8.45E-01,2.07E+00,-1.04E+01,1.01E+00,8.92E-01,1.80E+02,-5.08E+00,-9.32E-01,4.47E+00,2.33E+00,2.71E+00,2.73E+01,-5.12E-01,-1.73E+00,5.00E+00
443-48-1,2.08E+00,2.23E+00,-1.11E+01,5.58E-01,5.49E-01,3.01E+02,-8.25E+00,-9.65E-01,8.35E+00,1.76E+00,-1.56E-01,1.26E+02,-4.05E+00,-2.28E+00,5.00E+00
50-00-0,1.49E+00,1.48E+00,-1.11E+01,2.38E-01,1.11E+00,-1.97E+01,-5.59E+00,-6.48E-01,1.21E+00,4.35E-01,2.85E-01,-1.05E+02,2.92E+00,1.09E+00,3.00E+00
50-29-3,-1.81E+00,2.55E+00,-1.22E+01,4.23E+00,1.13E+00,3.50E+02,-4.98E+00,1.93E+00,9.32E+00,5.15E+00,6.91E+00,1.05E+02,-6.40E+00,-7.29E+00,1.00E+00
51-21-8,-4.41E-01,2.11E+00,-1.11E+01,5.33E-01,5.50E-01,2.63E+02,-7.81E+00,-6.01E-01,7.06E+00,1.24E+00,-6.04E-01,1.29E+02,-2.71E+00,-8.61E-01,5.00E+00
51-28-5,7.32E-01,2.27E+00,-1.21E+01,6.73E-01,6.62E-01,3.50E+02,-7.01E+00,-8.72E-01,7.34E+00,2.35E+00,1.81E+00,1.18E+02,-3.57E+00,-2.76E+00,5.00E+00
51-79-6,3.06E+00,1.95E+00,-1.13E+01,5.31E-01,5.65E-01,1.84E+02,-6.25E+00,-8.22E-01,4.42E+00,9.87E-01,-2.77E-01,5.30E+01,-5.32E-01,5.89E-01,4.00E+00
53-70-3,-6.06E-01,2.44E+00,-1.04E+01,2.85E+00,2.57E+00,5.20E+02,-6.35E+00,3.30E-01,1.17E+01,6.19E+00,6.78E+00,2.72E+02,-9.09E+00,-8.18E+00,5.00E+00
542-75-6,6.91E-02,2.05E+00,-1.09E+01,9.00E-01,7.30E-01,9.76E+01,-2.69E+00,-1.07E+00,3.10E+00,1.68E+00,2.03E+00,-4.70E+01,1.50E+00,-1.71E+00,3.00E+00
54-85-3,2.68E+00,2.14E+00,-1.07E+01,4.22E-01,5.49E-01,3.04E+02,-8.62E+00,-9.84E-01,7.59E+00,1.34E+00,-4.84E-01,1.66E+02,-6.41E+00,-1.00E-01,5.00E+00
55-18-5,2.64E+00,2.01E+00,-1.20E+01,9.20E-01,6.61E-01,1.74E+02,-4.94E+00,-9.33E-01,2.26E+00,1.60E+00,4.60E-01,2.22E+01,9.52E-02,1.81E-01,5.00E+00
55-22-1,3.17E+00,2.09E+00,-1.10E+01,6.15E-01,5.53E-01,2.56E+02,-8.03E+00,-5.81E-01,5.99E+00,1.87E+00,2.19E-01,2.46E+02,-2.62E+00,-9.37E-01,5.00E+00
55290-64-7,9.09E-01,2.32E+00,-1.16E+01,3.03E-01,9.08E-01,2.90E+02,-9.63E+00,-9.75E-01,5.69E+00,6.78E-01,3.32E-02,1.54E+02,-6.11E+00,-1.63E+00,5.00E+00
556-52-5,1.64E+00,1.87E+00,-1.12E+01,2.00E-01,5.65E-01,1.37E+02,-6.49E+00,-8.21E-01,4.09E+00,8.92E-01,-8.54E-01,-3.31E+00,6.45E-01,1.13E+00,5.00E+00
563-41-7,2.11E+00,2.05E+00,-1.18E+01,4.26E-01,7.14E-01,2.58E+02,-8.30E+00,-8.61E-01,6.17E+00,6.02E-01,-1.60E+00,1.92E+02,-4.99E+00,-3.33E-01,5.00E+00
57-14-7,6.88E-01,1.78E+00,-1.10E+01,1.88E-01,8.76E-01,6.50E+01,-5.89E+00,-1.05E+00,2.69E+00,9.64E-01,-7.45E-01,-5.55E+01,2.35E+00,1.21E+00,5.00E+00
57-24-9,-3.42E-01,2.52E+00,-1.02E+01,8.53E-01,1.89E+00,3.61E+02,-8.28E+00,4.35E-01,1.17E+01,4.96E+00,1.87E+00,2.70E+02,-9.18E+00,-3.28E+00,5.00E+00
58-89-9,-1.11E+00,2.46E+00,-1.26E+01,3.18E+00,1.27E+00,2.36E+02,-5.13E+00,1.44E+00,7.25E+00,3.19E+00,3.66E+00,7.68E+01,-2.45E+00,-5.07E+00,1.00E+00
58-90-2,-2.96E-01,2.37E+00,-1.12E+01,2.28E+00,9.24E-01,2.68E+02,-6.26E+00,-9.08E-02,7.71E+00,3.73E+00,4.24E+00,8.27E+01,-3.03E+00,-3.77E+00,4.00E+00
5902-51-2,2.20E-01,2.34E+00,-1.08E+01,3.94E-01,6.36E-01,2.78E+02,-5.81E+00,-1.79E-01,7.51E+00,1.71E+00,2.05E+00,9.30E+01,-2.22E+00,-1.01E+00,5.00E+00
59-67-6,2.04E+00,2.09E+00,-1.08E+01,6.15E-01,5.50E-01,2.56E+02,-8.03E+00,-5.80E-01,5.99E+00,1.87E+00,2.32E-01,2.28E+02,-3.10E+00,-8.43E-01,5.00E+00
59756-60-4,3.06E-01,2.52E+00,-1.05E+01,1.70E+00,5.50E-01,3.64E+02,-8.64E+00,-6.06E-01,9.77E+00,2.99E+00,3.25E+00,1.48E+02,-7.04E+00,-4.71E+00,5.00E+00
59-87-0,1.29E+00,2.30E+00,-1.16E+01,3.27E-01,5.49E-01,3.32E+02,-7.77E+00,-9.91E-01,8.52E+00,1.24E+00,-2.15E-01,1.87E+02,-4.82E+00,-3.04E-01,5.00E+00
6164-98-3,1.35E+00,2.29E+00,-1.08E+01,1.51E+00,5.27E-01,2.75E+02,-5.39E+00,-1.84E-02,5.64E+00,2.70E+00,2.80E+00,5.20E+01,-2.69E+00,-2.95E+00,5.00E+00
62-55-5,1.53E+00,1.88E+00,-1.04E+01,2.82E-01,6.51E-01,9.91E+01,-8.10E+00,-7.23E-01,4.17E+00,8.02E-01,-1.99E-01,1.10E+02,-8.60E-01,5.21E-01,5.00E+00
62-75-9,2.79E+00,1.87E+00,-1.18E+01,2.26E-01,8.79E-01,1.52E+02,-4.43E+00,-9.60E-01,1.38E+00,8.09E-01,-5.70E-01,-1.87E+01,5.41E-01,8.72E-01,5.00E+00
65-85-0,1.51E+00,2.09E+00,-1.16E+01,6.19E-01,8.23E-01,2.52E+02,-6.58E+00,-5.81E-01,5.91E+00,1.53E+00,1.90E+00,1.20E+02,-2.91E+00,-6.69E-01,5.00E+00
67-64-1,3.47E+00,1.76E+00,-1.25E+01,3.00E-01,8.79E-01,5.03E+01,-4.28E+00,-9.70E-01,2.42E+00,5.64E-01,-6.33E-02,-8.88E+01,2.41E+00,9.26E-01,1.00E+00
680-31-9,3.48E+00,2.25E+00,-1.04E+01,-2.02E-01,9.46E-01,2.30E+02,-3.05E+00,-9.83E-01,4.43E+00,1.93E+00,3.43E-01,1.24E+01,-1.21E+00,6.18E-01,5.00E+00
684-93-5,1.76E+00,2.01E+00,-1.21E+01,3.45E-01,6.48E-01,2.70E+02,-8.37E+00,-8.67E-01,4.77E+00,1.00E+00,-1.88E-01,1.42E+02,-1.72E+00,-7.22E-01,5.00E+00
71-43-2,1.51E+00,1.89E+00,-1.18E+01,7.69E-01,9.27E-01,8.58E+01,-2.36E+00,-1.07E+00,3.09E+00,1.70E+00,2.21E+00,-1.03E+01,1.95E+00,-1.87E+00,1.00E+00
72-54-8,-2.52E+00,2.51E+00,-1.22E+01,3.89E+00,1.22E+00,3.50E+02,-5.00E+00,2.33E+00,9.40E+00,4.43E+00,6.49E+00,9.25E+01,-5.83E+00,-6.64E+00,1.00E+00
74-87-3,2.28E+00,1.70E+00,-1.33E+01,9.86E-01,1.22E+00,-2.62E+01,-2.03E+00,-7.41E-01,1.57E+00,1.10E+00,9.47E-01,-1.06E+02,3.39E+00,-1.20E+00,1.00E+00
75-07-0,1.75E+00,1.64E+00,-1.08E+01,3.91E-01,8.79E-01,2.17E+01,-4.36E+00,-7.70E-01,1.79E+00,4.10E-01,-2.11E-01,-1.16E+02,2.87E+00,1.18E+00,3.00E+00
75-09-2,2.18E+00,1.93E+00,-1.30E+01,1.18E+00,1.31E+00,3.84E+01,-2.38E+00,-5.53E-01,2.40E+00,1.51E+00,1.36E+00,-8.37E+01,2.56E+00,-8.91E-01,1.00E+00
75-52-5,2.05E+00,1.79E+00,-1.28E+01,8.81E-01,8.79E-01,9.83E+01,-4.51E+00,-9.43E-01,1.66E+00,7.39E-01,-4.15E-01,-3.68E+01,1.35E+00,6.80E-02,5.00E+00
75-56-9,1.99E+00,1.76E+00,-1.18E+01,2.68E-01,6.14E-01,3.26E+01,-3.86E+00,-7.38E-01,2.21E+00,4.68E-01,3.85E-02,-1.07E+02,2.74E+00,6.99E-01,2.00E+00
75-99-0,2.26E+00,2.16E+00,-1.19E+01,7.92E-01,8.19E-01,1.92E+02,-7.06E+00,-6.53E-01,4.62E+00,2.59E-01,7.75E-01,3.95E+01,-6.65E-01,5.46E-01,3.00E+00
76-03-9,2.77E+00,2.21E+00,-1.34E+01,3.00E-01,7.25E-01,1.98E+02,-7.93E+00,-8.87E-01,4.76E+00,4.97E-01,1.38E+00,5.50E+01,-8.91E-01,5.49E-01,5.00E+00
77182-82-2,1.21E+00,2.30E+00,-1.10E+01,5.96E-01,5.51E-01,3.18E+02,-1.04E+01,-1.14E+00,8.32E+00,2.40E+00,-1.17E+00,1.91E+02,-8.48E+00,6.85E-01,5.00E+00
77-92-9,2.42E+00,2.28E+00,-1.17E+01,5.90E-01,6.12E-01,3.18E+02,-1.01E+01,-1.10E+00,7.91E+00,2.08E+00,-1.66E+00,1.56E+02,-7.91E+00,4.70E-01,5.00E+00
78-79-5,1.96E+00,1.83E+00,-1.00E+01,1.23E+00,6.07E-01,3.53E+01,-1.00E+00,-5.71E-01,2.26E+00,1.54E+00,2.25E+00,-1.33E+02,2.75E+00,-2.09E+00,1.00E+00
78-93-3,3.30E+00,1.86E+00,-1.19E+01,6.11E-01,5.65E-01,7.35E+01,-4.18E+00,-1.05E+00,2.80E+00,1.20E+00,3.90E-01,-8.00E+01,1.95E+00,4.01E-01,1.00E+00
79-06-1,1.90E+00,1.85E+00,-1.07E+01,1.20E+00,7.14E-01,1.99E+02,-7.58E+00,-5.66E-01,4.29E+00,1.39E+00,-7.11E-01,8.56E+01,-1.94E+00,9.80E-01,3.00E+00
79-10-7,1.46E+00,1.86E+00,-1.08E+01,6.46E-01,6.31E-01,1.51E+02,-6.70E+00,-6.59E-01,3.82E+00,8.99E-01,3.58E-01,1.71E+01,2.83E-01,1.01E+00,3.00E+00
79-11-8,5.06E-01,1.98E+00,-1.20E+01,6.53E-01,8.52E-01,1.85E+02,-7.86E+00,-5.72E-01,4.06E+00,6.60E-01,2.73E-01,6.19E+01,-8.00E-01,9.10E-01,3.00E+00
79-43-6,2.25E+00,2.11E+00,-1.23E+01,5.63E-01,8.25E-01,1.92E+02,-8.05E+00,-6.60E-01,4.27E+00,4.11E-01,8.39E-01,2.62E+01,-7.06E-01,8.57E-01,3.00E+00
81335-77-5,1.36E+00,2.46E+00,-1.09E+01,6.55E-01,5.24E-01,2.77E+02,-9.03E+00,-1.98E-01,9.16E+00,1.00E+00,1.45E+00,1.74E+02,-9.80E+00,-2.27E+00,5.00E+00
86-87-3,1.86E+00,2.27E+00,-1.09E+01,4.85E-01,7.21E-01,3.30E+02,-7.75E+00,-8.32E-01,9.22E+00,2.25E+00,2.31E+00,1.55E+02,-5.14E+00,-2.85E+00,1.00E+00
868-85-9,2.05E+00,2.04E+00,-1.06E+01,4.55E-01,7.86E-01,1.69E+02,-7.34E+00,-9.52E-01,3.84E+00,6.74E-01,-7.10E-01,-6.10E+01,3.54E-01,2.50E-01,5.00E+00
87-51-4,1.01E+00,2.24E+00,-1.10E+01,5.49E-01,5.50E-01,2.99E+02,-8.01E+00,-3.42E-01,8.14E+00,2.06E+00,1.48E+00,1.68E+02,-6.23E+00,-2.07E+00,5.00E+00
87-86-5,-2.99E-01,2.43E+00,-1.27E+01,2.69E+00,1.47E+00,3.03E+02,-7.47E+00,-1.77E-01,8.46E+00,4.19E+00,5.02E+00,1.59E+02,-3.80E+00,-4.27E+00,4.00E+00
88-85-7,-9.54E-01,2.38E+00,-1.10E+01,1.78E+00,6.58E-01,3.33E+02,-7.22E+00,-8.65E-01,8.76E+00,2.82E+00,3.50E+00,6.32E+01,-4.17E+00,-4.01E+00,5.00E+00
91-20-3,1.47E-01,2.11E+00,-1.08E+01,1.95E+00,7.09E-01,2.22E+02,-3.38E+00,3.08E-01,5.07E+00,3.01E+00,3.32E+00,5.49E+01,-1.20E+00,-3.78E+00,1.00E+00
93-72-1,8.00E-01,2.43E+00,-1.09E+01,5.03E-01,5.48E-01,3.22E+02,-8.80E+00,-7.71E-01,8.60E+00,1.86E+00,3.66E+00,1.67E+02,-5.17E+00,-3.35E+00,1.00E+00
93-76-5,9.41E-01,2.41E+00,-1.11E+01,4.93E-01,5.50E-01,3.14E+02,-8.52E+00,-5.67E-01,9.06E+00,1.95E+00,3.30E+00,1.49E+02,-4.91E+00,-2.92E+00,1.00E+00
94-74-6,6.97E-01,2.30E+00,-1.09E+01,5.61E-01,5.49E-01,2.85E+02,-8.16E+00,-9.49E-01,8.53E+00,1.70E+00,2.88E+00,1.21E+02,-5.61E+00,-2.54E+00,1.00E+00
94-75-7,1.36E+00,2.34E+00,-1.11E+01,5.24E-01,5.50E-01,3.00E+02,-8.53E+00,-6.69E-01,8.65E+00,1.82E+00,2.77E+00,1.31E+02,-6.38E+00,-2.59E+00,1.00E+00
94-82-6,1.15E+00,2.40E+00,-1.09E+01,5.40E-01,5.49E-01,3.21E+02,-8.85E+00,-1.06E+00,8.53E+00,2.45E+00,3.38E+00,1.19E+02,-6.30E+00,-3.43E+00,1.00E+00
95-06-7,1.38E-02,2.35E+00,-1.02E+01,2.65E+00,5.86E-01,2.70E+02,-5.72E+00,-2.26E-01,6.88E+00,2.30E+00,2.26E+00,-4.30E+00,-2.86E+00,-3.22E+00,3.00E+00
96-12-8,1.08E+00,2.37E+00,-1.23E+01,1.10E+00,8.44E-01,1.96E+02,-3.53E+00,-1.11E+00,4.43E+00,1.89E+00,2.90E+00,-7.58E-01,1.62E-02,-2.57E+00,1.00E+00
96-18-4,7.35E-01,2.17E+00,-1.24E+01,1.08E+00,6.62E-01,1.47E+02,-3.44E+00,-6.35E-01,3.47E+00,2.41E+00,2.28E+00,-2.98E+01,7.97E-01,-1.84E+00,1.00E+00
96-29-7,2.32E+00,1.94E+00,-1.18E+01,7.17E-01,5.65E-01,1.44E+02,-4.42E+00,-1.23E+00,2.44E+00,1.52E+00,8.73E-01,-1.01E+01,1.55E+00,-6.98E-03,5.00E+00
98-00-0,2.49E+00,1.99E+00,-1.03E+01,7.21E-01,5.51E-01,1.71E+02,-6.75E+00,-5.66E-01,4.27E+00,1.09E+00,2.31E-01,-1.31E+01,-3.32E-01,1.01E+00,3.00E+00
98-07-7,1.40E+00,2.29E+00,-1.21E+01,3.21E+00,7.32E-01,2.16E+02,-2.70E+00,8.57E-01,5.01E+00,3.06E+00,4.10E+00,2.67E+01,-3.25E-01,-3.00E+00,2.00E+00
98-86-2,1.92E+00,2.08E+00,-1.16E+01,9.56E-01,7.33E-01,2.00E+02,-4.96E+00,-7.63E-01,4.44E+00,1.78E+00,1.71E+00,1.36E+01,-3.69E-01,-1.40E+00,5.00E+00
95-14-7,1.50E+00,2.08E+00,-1.06E+01,6.17E-01,6.03E-01,3.42E+02,-7.62E+00,-8.66E-01,5.03E+00,1.72E+00,1.35E+00,1.04E+02,-4.44E+00,-1.02E+00,5.00E+00
100-12-9,1.40E+00,2.18E+00,-1.16E+01,1.13E+00,5.51E-01,2.41E+02,-4.97E+00,-2.21E-01,4.60E+00,2.93E+00,3.00E+00,4.11E-02,-1.49E+00,-2.46E+00,2.00E+00
1002-62-6,1.51E+00,2.29E+00,-1.09E+01,8.37E-01,6.99E-01,2.74E+02,-6.81E+00,-5.41E-01,7.71E+00,2.66E+00,3.91E+00,2.79E+01,-3.13E+00,-3.40E+00,5.00E+00
10031-82-0,1.18E+00,2.18E+00,-1.05E+01,8.90E-01,6.52E-01,2.50E+02,-6.18E+00,-5.27E-01,5.08E+00,2.09E+00,1.90E+00,2.03E+01,-1.86E+00,-1.68E+00,1.00E+00
100-43-6,6.53E-01,2.02E+00,-1.06E+01,1.62E+00,5.87E-01,1.63E+02,-4.99E+00,-4.14E-01,3.87E+00,1.41E+00,1.28E+00,-4.91E+01,2.75E-01,-3.22E-01,2.00E+00
100-48-1,2.54E+00,2.02E+00,-1.08E+01,3.88E-01,6.30E-01,2.14E+02,-6.40E+00,-7.71E-01,4.42E+00,1.50E+00,5.39E-01,5.59E+01,-4.19E-01,-9.06E-02,5.00E+00
100-54-9,2.46E+00,2.02E+00,-1.08E+01,3.88E-01,5.52E-01,2.14E+02,-6.44E+00,-7.71E-01,4.42E+00,1.51E+00,4.41E-01,5.56E+01,-4.61E-01,1.02E-02,5.00E+00
100-55-0,3.20E+00,2.04E+00,-1.03E+01,6.86E-01,5.49E-01,2.69E+02,-6.60E+00,-7.79E-01,5.04E+00,1.42E+00,6.63E-03,3.54E+01,-2.01E+00,8.69E-01,3.00E+00
100-64-1,2.02E+00,2.05E+00,-1.19E+01,9.19E-01,7.95E-01,1.88E+02,-4.93E+00,-1.14E+00,3.39E+00,2.37E+00,9.63E-01,6.52E+01,-1.14E+00,-9.26E-01,5.00E+00
100-68-5,1.76E-01,2.09E+00,-1.05E+01,1.50E+00,1.19E+00,1.88E+02,-3.12E+00,-8.18E-01,4.31E+00,2.26E+00,2.82E+00,3.12E+00,-3.39E-01,-2.45E+00,5.00E+00
100-70-9,2.53E+00,2.02E+00,-1.03E+01,6.10E-01,6.50E-01,2.15E+02,-6.45E+00,-7.71E-01,4.42E+00,1.50E+00,4.55E-01,5.46E+01,-3.96E-01,-1.14E-01,5.00E+00
100-71-0,2.32E+00,2.03E+00,-1.03E+01,1.11E+00,5.25E-01,1.58E+02,-4.98E+00,-4.48E-01,3.74E+00,1.81E+00,1.68E+00,-5.70E+01,5.20E-01,2.63E-01,2.00E+00
100-79-8,3.92E+00,2.12E+00,-1.05E+01,5.39E-01,6.63E-01,1.88E+02,-6.27E+00,-9.93E-01,4.91E+00,1.58E+00,-1.70E-01,-8.91E+00,1.44E+00,7.09E-01,1.00E+00
1008-88-4,1.39E+00,2.19E+00,-1.09E+01,1.75E+00,1.09E+00,2.75E+02,-4.06E+00,4.88E-01,6.11E+00,2.54E+00,2.60E+00,8.92E+01,-2.01E+00,-3.17E+00,5.00E+00
1008-89-5,1.58E+00,2.19E+00,-1.04E+01,1.93E+00,1.12E+00,2.73E+02,-4.06E+00,9.62E-02,6.11E+00,3.03E+00,2.64E+00,8.42E+01,-2.01E+00,-3.16E+00,5.00E+00
10114-58-6,-5.00E-01,2.62E+00,-1.07E+01,8.95E-01,1.77E+00,3.26E+02,-8.52E+00,-5.91E-01,9.41E+00,2.12E+00,3.95E+00,2.38E+02,-8.22E+00,-3.49E+00,3.00E+00
101-55-3,1.23E-01,2.40E+00,-1.08E+01,2.48E+00,7.47E-01,3.13E+02,-4.63E+00,2.05E-01,7.46E+00,4.27E+00,4.88E+00,3.32E+01,-2.77E+00,-4.42E+00,1.00E+00
101-81-5,5.74E-01,2.23E+00,-1.04E+01,2.94E+00,1.02E+00,2.70E+02,-3.39E+00,7.55E-01,6.35E+00,3.08E+00,4.22E+00,1.92E+01,-2.16E+00,-4.31E+00,1.00E+00
101-82-6,1.52E+00,2.23E+00,-1.03E+01,2.20E+00,1.10E+00,2.80E+02,-4.10E+00,3.16E-01,6.62E+00,2.64E+00,2.64E+00,3.00E+01,-2.01E+00,-3.13E+00,5.00E+00
102-08-9,1.25E+00,2.36E+00,-1.08E+01,1.92E+00,1.16E+00,3.61E+02,-9.32E+00,-7.56E-01,9.02E+00,2.38E+00,3.26E+00,1.64E+02,-6.86E+00,-3.21E+00,5.00E+00
102-27-2,1.39E+00,2.13E+00,-1.08E+01,7.75E-01,5.17E-01,2.17E+02,-5.30E+00,-8.10E-01,7.39E+00,2.48E+00,2.42E+00,-3.55E+01,-1.43E+00,-1.20E+00,5.00E+00
102-81-8,1.77E+00,2.24E+00,-1.04E+01,1.02E+00,7.13E-01,2.24E+02,-4.89E+00,-5.16E-01,7.71E+00,2.44E+00,2.54E+00,-5.57E+01,-2.09E+00,-1.62E+00,5.00E+00
102-97-6,1.28E+00,2.17E+00,-1.08E+01,1.17E+00,5.65E-01,2.04E+02,-5.61E+00,-8.26E-01,7.19E+00,2.08E+00,2.01E+00,-2.47E+01,-9.76E-01,-1.37E+00,5.00E+00
103-05-9,1.52E+00,2.22E+00,-1.07E+01,1.70E+00,4.92E-01,2.31E+02,-5.83E+00,-9.59E-01,7.71E+00,1.96E+00,3.29E+00,2.34E+01,-1.43E+00,-2.41E+00,1.00E+00
1031-07-8,-6.99E-01,2.63E+00,-1.09E+01,5.07E-01,1.19E+00,3.68E+02,-4.94E+00,8.20E-01,9.32E+00,3.98E+00,3.60E+00,1.65E+02,-6.58E+00,-5.49E+00,3.00E+00
103-74-2,8.39E-01,2.09E+00,-1.02E+01,5.90E-01,5.48E-01,2.74E+02,-6.57E+00,-9.42E-01,6.25E+00,1.49E+00,8.84E-02,2.20E+01,-2.43E+00,5.15E-01,5.00E+00
103-76-4,3.51E+00,2.11E+00,-1.05E+01,4.07E-01,5.65E-01,2.42E+02,-8.53E+00,-1.09E+00,7.60E+00,1.57E+00,-7.26E-01,6.90E+01,-2.70E+00,9.16E-01,5.00E+00
103-84-4,1.73E+00,2.13E+00,-1.09E+01,5.53E-01,7.24E-01,2.97E+02,-8.81E+00,-8.25E-01,7.74E+00,1.45E+00,1.31E+00,1.02E+02,-3.61E+00,-1.31E+00,5.00E+00
104-13-2,7.08E-01,2.17E+00,-1.06E+01,1.73E+00,4.88E-01,2.48E+02,-5.57E+00,-8.50E-01,7.74E+00,2.81E+00,2.90E+00,1.76E+01,-1.52E+00,-2.12E+00,5.00E+00
10443-70-6,3.98E-01,2.41E+00,-1.09E+01,1.59E+00,5.26E-01,3.07E+02,-7.73E+00,1.99E-01,7.79E+00,2.44E+00,4.30E+00,1.76E+01,-5.33E+00,-4.29E+00,1.00E+00
104-43-8,-1.14E+00,2.42E+00,-1.08E+01,2.98E+00,6.12E-01,2.77E+02,-5.23E+00,2.87E-01,1.06E+01,3.52E+00,7.96E+00,6.23E+01,-4.23E+00,-6.25E+00,5.00E+00
104-51-8,-6.10E-01,2.13E+00,-1.10E+01,2.47E+00,5.98E-01,1.83E+02,-2.09E+00,-9.01E-02,4.60E+00,3.28E+00,4.34E+00,-6.45E+01,9.95E-02,-3.90E+00,1.00E+00
104-85-8,1.87E+00,2.07E+00,-1.15E+01,1.08E+00,7.29E-01,2.12E+02,-4.54E+00,-7.99E-01,4.31E+00,1.78E+00,1.74E+00,-2.40E+00,-5.22E-01,-1.20E+00,5.00E+00
104-87-0,1.83E+00,2.08E+00,-1.06E+01,8.86E-01,6.85E-01,2.01E+02,-4.55E+00,-8.35E-01,4.44E+00,1.73E+00,1.88E+00,1.58E+01,-5.84E-01,-1.69E+00,3.00E+00
104-90-5,1.61E+00,2.08E+00,-1.03E+01,8.44E-01,5.24E-01,1.74E+02,-5.01E+00,-2.12E-01,4.46E+00,1.66E+00,2.17E+00,-3.08E+01,1.46E-01,-7.18E-01,2.00E+00
104-94-9,6.31E-01,2.09E+00,-1.02E+01,7.40E-01,5.75E-01,2.41E+02,-6.94E+00,-8.93E-01,6.27E+00,1.91E+00,9.66E-01,3.18E+01,-1.46E+00,-8.55E-01,5.00E+00
105-39-5,6.03E-02,2.09E+00,-1.17E+01,8.67E-01,6.97E-01,1.45E+02,-3.71E+00,-9.58E-01,3.74E+00,1.53E+00,9.90E-01,-2.69E+01,8.42E-01,-6.87E-01,3.00E+00
10540-29-1,-1.61E+00,2.57E+00,-1.05E+01,3.08E+00,5.27E-01,4.19E+02,-7.66E+00,7.11E-01,1.17E+01,4.13E+00,6.23E+00,9.36E+01,-7.68E+00,-5.07E+00,5.00E+00
105-46-4,2.13E+00,2.07E+00,-1.13E+01,5.02E-01,6.16E-01,1.13E+02,-3.46E+00,-9.82E-01,3.22E+00,1.49E+00,1.81E+00,-9.31E+01,1.29E+00,-1.23E+00,5.00E+00
1058-92-0,2.52E+00,2.71E+00,-1.07E+01,3.77E-01,5.26E-01,3.64E+02,-9.61E+00,-8.48E-01,9.50E+00,1.98E+00,1.35E+00,2.41E+02,-7.76E+00,-2.44E+00,5.00E+00
106-40-1,1.44E+00,2.24E+00,-1.05E+01,9.90E-01,1.13E+00,2.46E+02,-6.81E+00,-7.18E-01,7.36E+00,2.10E+00,2.22E+00,4.97E+01,-9.18E-01,-9.03E-01,5.00E+00
106-41-2,8.65E-01,2.24E+00,-1.07E+01,1.25E+00,7.32E-01,2.38E+02,-6.81E+00,-6.53E-01,6.52E+00,2.51E+00,2.61E+00,5.73E+01,-1.74E+00,-9.87E-01,5.00E+00
106-63-8,5.90E-02,2.11E+00,-1.06E+01,5.46E-01,6.65E-01,1.35E+02,-3.42E+00,-9.85E-01,4.16E+00,1.73E+00,2.26E+00,-4.95E+01,8.91E-01,-1.65E+00,3.00E+00
106-68-3,1.99E+00,2.11E+00,-1.09E+01,1.24E+00,6.56E-01,1.68E+02,-3.81E+00,-8.43E-01,4.56E+00,1.95E+00,2.68E+00,-1.28E+01,1.05E-01,-1.76E+00,1.00E+00
106-69-4,3.84E+00,2.13E+00,-1.04E+01,4.26E-01,6.09E-01,2.99E+02,-9.22E+00,-7.14E-01,7.26E+00,1.18E+00,-7.62E-01,1.35E+02,-3.74E+00,8.26E-01,5.00E+00
106-94-5,1.53E+00,2.09E+00,-1.19E+01,8.87E-01,8.88E-01,6.89E+01,-2.64E+00,-7.48E-01,2.80E+00,1.65E+00,2.12E+00,-1.07E+02,2.06E+00,-1.80E+00,1.00E+00
106-95-6,-4.81E-01,2.08E+00,-1.07E+01,9.45E-01,7.11E-01,6.80E+01,-2.66E+00,-9.15E-01,2.85E+00,1.60E+00,1.82E+00,-1.16E+02,2.00E+00,-1.51E+00,3.00E+00
1070-83-3,3.11E+00,2.07E+00,-1.15E+01,5.76E-01,5.65E-01,1.93E+02,-6.07E+00,-9.87E-01,4.48E+00,1.44E+00,1.99E+00,-1.64E+00,-6.96E-01,-1.03E+00,1.00E+00
107-12-0,2.88E+00,1.74E+00,-1.27E+01,5.77E-01,6.62E-01,1.00E+02,-4.38E+00,-7.80E-01,2.26E+00,6.90E-01,1.14E-01,-8.79E+01,1.68E+00,2.54E-01,5.00E+00
107-45-9,1.09E+00,2.11E+00,-1.07E+01,8.39E-01,8.19E-01,1.43E+02,-4.44E+00,-8.80E-01,4.90E+00,2.05E+00,2.29E+00,-3.88E+01,1.39E+00,-2.21E+00,2.00E+00
107-47-1,1.16E+00,2.17E+00,-1.07E+01,2.48E+00,1.23E+00,1.56E+02,-2.35E+00,7.60E-01,3.96E+00,2.58E+00,3.64E+00,-4.60E+01,1.21E+00,-4.37E+00,5.00E+00
