CAS,HC50,MW,AOH,BCF,BioHL,BP,HL,KM,KOA,LogP,MP,KOC,VP,WS,MoA
60207-31-0,1.21E+00,2.48E+00,-1.08E+01,1.23E+00,5.27E-01,3.33E+02,-6.47E+00,7.57E-01,8.99E+00,1.97E+00,2.31E+00,8.17E+01,-6.62E+00,-3.24E+00,5.00E+00
60-24-2,1.25E+00,1.89E+00,-1.09E+01,4.81E-01,5.64E-01,1.53E+02,-6.01E+00,-8.27E-01,3.88E+00,9.82E-01,-3.81E-01,1.88E+01,3.76E-02,9.85E-01,5.00E+00
603-86-1,-2.18E-01,2.24E+00,-1.20E+01,1.12E+00,4.93E-01,2.55E+02,-4.92E+00,-7.23E-01,6.00E+00,2.78E+00,2.67E+00,8.96E+01,-1.63E+00,-3.60E+00,5.00E+00
6062-26-6,5.76E-01,2.40E+00,-1.08E+01,5.76E-01,5.48E-01,3.06E+02,-8.82E+00,-1.00E+00,8.90E+00,2.58E+00,3.18E+00,1.02E+02,-6.14E+00,-3.45E+00,5.00E+00
608-31-1,8.17E-02,2.21E+00,-1.06E+01,1.25E+00,1.15E+00,2.55E+02,-6.30E+00,-9.50E-01,7.58E+00,2.95E+00,2.78E+00,4.30E+01,-1.41E+00,-2.55E+00,5.00E+00
609-19-8,-6.39E-01,2.30E+00,-1.14E+01,2.20E+00,1.08E+00,2.61E+02,-6.62E+00,-3.22E-01,7.73E+00,3.38E+00,3.88E+00,9.01E+01,-1.79E+00,-1.88E+00,5.00E+00
6104-30-9,2.52E+00,2.24E+00,-1.06E+01,1.30E-01,5.52E-01,2.58E+02,-9.75E+00,-1.09E+00,8.63E+00,2.10E+00,-5.47E-01,1.64E+02,-7.51E+00,-1.02E+00,5.00E+00
611-06-3,5.20E-01,2.28E+00,-1.21E+01,2.07E+00,5.71E-01,2.60E+02,-4.99E+00,5.37E-01,5.09E+00,2.73E+00,3.07E+00,4.88E+01,-1.70E+00,-3.65E+00,2.00E+00
61213-25-0,3.32E-01,2.49E+00,-1.09E+01,1.94E+00,5.49E-01,3.03E+02,-8.44E+00,2.60E-02,7.87E+00,3.61E+00,3.20E+00,7.78E+01,-5.48E+00,-3.85E+00,5.00E+00
61260-55-7,1.35E+00,2.60E+00,-1.09E+01,1.70E+00,1.77E+00,3.39E+02,-7.67E+00,-5.44E-01,9.41E+00,4.51E+00,4.67E+00,6.79E+01,-7.66E+00,-4.49E+00,5.00E+00
